	Date	Code	CompanyName	CompanyNameEnglish	Sector17Code	Sector17CodeName	Sector33Code	Sector33CodeName	ScaleCategory	MarketCode	MarketCodeName
3980	2023-07-14	93120	ケイヒン	THE KEIHIN CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
3981	2023-07-14	93130	丸八倉庫	Maruhachi Warehouse Company Limited	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
3982	2023-07-14	93190	中央倉庫	Chuo Warehouse Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
3983	2023-07-14	93220	川西倉庫	KAWANISHI WAREHOUSE CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
3984	2023-07-14	93240	安田倉庫	Yasuda Logistics Corporation	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
3985	2023-07-14	93250	ファイズホールディングス	PHYZ Holdings Inc.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
3986	2023-07-14	93260	関通	KANTSU CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	-	0113	グロース
3987	2023-07-14	93270	イー・ロジット	e-LogiT co.,ltd.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
3988	2023-07-14	93350	テクノクリエイティブ	techno-creative CO.,LTD.	10	情報通信・サービスその他	9050	サービス業	-	0105	TOKYO PRO MARKET
3989	2023-07-14	93360	大栄環境	Daiei Kankyo Co.,Ltd.	10	情報通信・サービスその他	9050	サービス業	TOPIX Small 2	0111	プライム
3990	2023-07-14	93370	トリドリ	toridori Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3991	2023-07-14	93380	ＩＮＦＯＲＩＣＨ	INFORICH INC.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
3992	2023-07-14	93390	コーチ・エィ	COACH A Co.,Ltd.	10	情報通信・サービスその他	9050	サービス業	-	0112	スタンダード
